Altium Designer Pick and Place Locations
C:\Users\Sanion-012\altiums\altiumprojects\ESP32-C3-PHILS\ESP32C3PHILS\Project Outputs for ESP32C3PHILS\Pick Place for esp32c3phils.txt

========================================================================================================================
File Design Information:

Date:       17/07/25
Time:       13:46
Revision:   2e07595fae1067592053fd2e568a55f05f646cb3
Variant:    No variations
Units used: mil

Designator Comment                       Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                   
L4         IND2n2                        TopLayer    INDC1006X60N                  4565.000      3725.000      180      "Inductor with Inductance: 2.2nH Tol. +/-0.1nH, Package: 0402 (1005)"                                                                                                         
T1         TP                            TopLayer    TP                            3497.990      4045.000      90       ""                                                                                                                                                                            
T20        JumpA                         TopLayer    JUMPA                         3110.000      3343.500      90       ""                                                                                                                                                                            
T21        JumpA                         TopLayer    JUMPA                         3130.536      3343.500      90       ""                                                                                                                                                                            
J5         HEADER_40PIN_SMD              TopLayer    AMPHENOL_95157-440LF          3795.000      2825.000      180      "Conn Unshrouded Header HDR 40 POS 2.54mm Solder ST Top Entry SMD Bulk"                                                                                                       
T19        JumpA                         TopLayer    JUMPA                         3486.500      3705.000      180      ""                                                                                                                                                                            
C30        106                           TopLayer    RC0402                        4275.000      3605.000      270      "Multilayer Ceramic Chip Capacitor 0402 Size 10uF 10V X5R ¡¾20% Tolerance SMD T/R"                                                                                             
C29        104                           TopLayer    CAPC1005X55N2                 4115.000      3528.071      270      "Multilayer Ceramic Capacitor, 0.1 uF, 16 V, i¢¯¨ö 10%, X7R, 0402 [1005 Metric]"                                                                                                
J4         HEADER6PIN2.54                TopLayer    HEADER6PIN2.54                4745.000      4027.598      0        "Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry SMD C-Grid Bag"                                                                                                  
A2         SMA_VERTICAL                  TopLayer    SMA_VERTICAL                  4675.000      3400.000      180      "connector, rf coaxial, sma str jack for p.c.board, 4 legs, .050 center cont, 50 ohm"                                                                                         
C28        GJM1555C1H3R3BB01D            TopLayer    RC0402                        4495.000      3710.000      270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 3.3pF 50Volts C0G +/-0.1pF"                                                                                                
C27        GJM1555C1H3R3BB01D            TopLayer    RC0402                        4635.000      3710.000      270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 3.3pF 50Volts C0G +/-0.1pF"                                                                                                
U10        TESEO-LIV4FTR                 TopLayer    XCVR_TESEO-LIV4FTR            4240.000      3855.000      0        "GNSS Module Dual-Band 3V to 3.63V 18-Pin LCC T/R"                                                                                                                            
T16        JumpA                         TopLayer    JUMPA                         4493.500      3940.000      0        ""                                                                                                                                                                            
T15        JumpA                         TopLayer    JUMPA                         4493.500      3985.000      0        ""                                                                                                                                                                            
T14        JumpA                         TopLayer    JUMPA                         4492.500      4030.000      0        ""                                                                                                                                                                            
T13        JumpA                         TopLayer    JUMPA                         4488.500      3805.000      0        ""                                                                                                                                                                            
T12        JumpA                         TopLayer    JUMPA                         4060.000      3616.500      270      ""                                                                                                                                                                            
T11        JumpA                         TopLayer    JUMPA                         4230.000      3611.500      270      ""                                                                                                                                                                            
R11        33K0402                       TopLayer    RC0402X                       4535.000      3795.000      270      "SMD Chip Resistor, 33 Kohm, ¨ö 5%, 62.5 Mw, 0402 [1005 Metric], Thick Film, General Purpose"                                                                                  
R10        15K0402                       TopLayer    RC0402X                       4535.000      3865.000      270      "Res Thin Film 0402 15K Ohm 0.1% 0.063W(1/16W) ¡¾25ppm/C Pad SMD T/R"                                                                                                          
C25        GJM1555C1H3R3BB01D            TopLayer    RC0402                        3955.000      3750.000      270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 3.3pF 50Volts C0G +/-0.1pF"                                                                                                
L3         IND2n2                        TopLayer    INDC1006X60N                  3887.823      3768.845      180      "Inductor with Inductance: 2.2nH Tol. +/-0.1nH, Package: 0402 (1005)"                                                                                                         
C26        GJM1555C1H3R3BB01D            TopLayer    RC0402                        3820.000      3750.000      270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 3.3pF 50Volts C0G +/-0.1pF"                                                                                                
A1         ANT                           TopLayer    XDCR_AMCA31-2R450G-S1F-T3     4050.000      4210.000      0        "Chip Dielectric Antenna; 1dBi; 2450MHz; T/R"                                                                                                                                 
.1         _                             BottomLayer ""                            0.000         0.000         0        ""                                                                                                                                                                            
T10        JumpA                         TopLayer    JUMPA                         3840.000      4026.500      270      ""                                                                                                                                                                            
T9         JumpA                         TopLayer    JUMPA                         3865.000      4026.500      270      ""                                                                                                                                                                            
