Altium Designer Pick and Place Locations
E:\Altium Files\altiumprojects\ESP32-C3-PHILS\ESP32C3PHILS\Project Outputs for ESP32C3PHILS\Pick Place\Pick Place for esp32c3phils.txt

========================================================================================================================
File Design Information:

Date:       28/06/25
Time:       02:49
Revision:   75bd5c48bdab9ea63cf4d68e62b4ab0b9822c535
Variant:    No variations
Units used: mil

Designator Comment                       Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                   
T20        JumpA                         TopLayer    JumpA                         3110.000      3343.500      90       ""                                                                                                                                                                            
T21        JumpA                         TopLayer    JumpA                         3130.536      3343.500      90       ""                                                                                                                                                                            
J5         HEADER_40PIN_SMD              TopLayer    AMPHENOL_95157-440LF          3795.000      2825.000      180      "Conn Unshrouded Header HDR 40 POS 2.54mm Solder ST Top Entry SMD Bulk"                                                                                                       
T19        JumpA                         TopLayer    JumpA                         3486.500      3705.000      180      ""                                                                                                                                                                            
C30        106                           TopLayer    RC0402                        3973.071      3705.000      180      "Multilayer Ceramic Chip Capacitor 0402 Size 10uF 10V X5R ±20% Tolerance SMD T/R"                                                                                             
C29        104                           TopLayer    CAPC1005X55N2                 3980.000      3585.000      270      "Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ï¿½ 10%, X7R, 0402 [1005 Metric]"                                                                                                
J4         HEADER6PIN2.54                TopLayer    HEADER6PIN2.54                4745.000      4027.598      0        "Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry SMD C-Grid Bag"                                                                                                  
A2         SMA_VERTICAL                  TopLayer    SMA_VERTICAL                  4670.000      3520.000      180      "connector, rf coaxial, sma str jack for p.c.board, 4 legs, .050 center cont, 50 ohm"                                                                                         
L4         2n2                           TopLayer    INDC0603X33N                  4546.063      3725.000      180      "Inductor High Frequency Chip Unshielded Multi-Layer 2.2nH 0.1nH 500MHz 14Q-Factor Ceramic 600mA 100mOhm DCR 0201 T/R"                                                        
C28        GRM0335C1E3R3BA01D            TopLayer    CAPC0603X33N                  4502.473      3713.043      90       "Multilayer Ceramic Capacitor, 3.3 pF, 25 V, ± 0.1pF, C0G (NP0), 0201 [0603 Metric]"                                                                                          
C27        GRM0335C1E3R3BA01D            TopLayer    CAPC0603X33N                  4589.420      3713.082      90       "Multilayer Ceramic Capacitor, 3.3 pF, 25 V, ± 0.1pF, C0G (NP0), 0201 [0603 Metric]"                                                                                          
U10        TESEO-LIV4FTR                 TopLayer    XCVR_TESEO-LIV4FTR            4240.000      3855.000      0        "GNSS Module Dual-Band 3V to 3.63V 18-Pin LCC T/R"                                                                                                                            
T18        TP                            TopLayer    TP                            4005.000      3900.000      90       ""                                                                                                                                                                            
T17        TP                            TopLayer    TP                            4005.000      3855.000      90       ""                                                                                                                                                                            
T16        JumpA                         TopLayer    JumpA                         4493.500      3940.000      0        ""                                                                                                                                                                            
T15        JumpA                         TopLayer    JumpA                         4493.500      3985.000      0        ""                                                                                                                                                                            
T14        JumpA                         TopLayer    JumpA                         4492.500      4030.000      0        ""                                                                                                                                                                            
T13        JumpA                         TopLayer    JumpA                         4483.500      3810.000      0        ""                                                                                                                                                                            
T12        JumpA                         TopLayer    JumpA                         3981.500      3635.000      180      ""                                                                                                                                                                            
T11        JumpA                         TopLayer    JumpA                         3981.500      3660.000      180      ""                                                                                                                                                                            
R11        33K0402                       TopLayer    RC0402X                       4535.000      3795.000      270      "SMD Chip Resistor, 33 Kohm, ½ 5%, 62.5 Mw, 0402 [1005 Metric], Thick Film, General Purpose"                                                                                  
R10        15K0402                       TopLayer    RC0402X                       4535.000      3865.000      270      "Res Thin Film 0402 15K Ohm 0.1% 0.063W(1/16W) ±25ppm/C Pad SMD T/R"                                                                                                          
C25        GRM0335C1E3R3BA01D            TopLayer    CAPC0603X33N                  3933.197      3759.112      90       "Multilayer Ceramic Capacitor, 3.3 pF, 25 V, ± 0.1pF, C0G (NP0), 0201 [0603 Metric]"                                                                                          
L3         2n2                           TopLayer    INDC0603X33N                  3868.923      3771.126      180      "Inductor High Frequency Chip Unshielded Multi-Layer 2.2nH 0.1nH 500MHz 14Q-Factor Ceramic 600mA 100mOhm DCR 0201 T/R"                                                        
C26        GRM0335C1E3R3BA01D            TopLayer    CAPC0603X33N                  3815.113      3759.112      90       "Multilayer Ceramic Capacitor, 3.3 pF, 25 V, ± 0.1pF, C0G (NP0), 0201 [0603 Metric]"                                                                                          
A1         ANT                           TopLayer    XDCR_AMCA31-2R450G-S1F-T3     3950.000      4185.000      90       "Chip Dielectric Antenna; 1dBi; 2450MHz; T/R"                                                                                                                                 
.1         _                             BottomLayer ""                            0.000         0.000         0        ""                                                                                                                                                                            
T10        JumpA                         TopLayer    JumpA                         3810.000      4011.500      270      ""                                                                                                                                                                            
T9         JumpA                         TopLayer    JumpA                         3840.000      4011.500      270      ""                                                                                                                                                                            
R9         5K1                           TopLayer    RC0402                        3760.000      3585.000      90       "SMD Chip Resistor, 5.1 kOhm, ï¿½ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose"                                                                               
R8         5K1                           TopLayer    RC0402                        3805.000      3700.000      180      "SMD Chip Resistor, 5.1 kOhm, ï¿½ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose"                                                                               
L1         IND2n2                        TopLayer    INDC1006X60N                  3825.000      3845.000      0        "Inductor with Inductance: 2.2nH Tol. +/-0.1nH, Package: 0402 (1005)"                                                                                                         
U9         SHT45-AD1B-R3                 TopLayer    SHT4X                         3830.000      4095.000      90       "Digital Relative Humidity Temperature Sensor, Â±1.0 %RH, Â±0.1 Â°C, Ultra-Low-Power, with filtermembrane"                                                                    
C24        C106                          TopLayer    RC0402                        3826.929      4175.000      180      "Multilayer Ceramic Chip Capacitor 0402 Size 10uF 10V X5R ±20% Tolerance SMD T/R"                                                                                             
C23        C106                          TopLayer    RC0402                        3875.000      3700.000      180      "Multilayer Ceramic Chip Capacitor 0402 Size 10uF 10V X5R ±20% Tolerance SMD T/R"                                                                                             
U6         W25Q16JVUXIQ_TR               TopLayer    IC_W25Q16JVUXIQ_TR            3400.000      3975.000      90       "NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 16M-bit 2M x 8 6ns 8-Pin USON EP T/R"                                                                                     
C14        106                           TopLayer    RC0402                        3430.000      4120.000      90       "Multilayer Ceramic Chip Capacitor 0402 Size 10uF 10V X5R ±20% Tolerance SMD T/R"                                                                                             
S2         SW_P                          TopLayer    SW                            2964.500      4225.000      180      "Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 0.98N SMD T/R"                                                                                                   
R5         5K1                           TopLayer    RC0402                        3810.000      3945.000      180      "SMD Chip Resistor, 5.1 kOhm, ï¿½ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose"                                                                               
C13        104                           TopLayer    CAPC1005X55N2                 2965.000      4140.000      180      "Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ï¿½ 10%, X7R, 0402 [1005 Metric]"                                                                                                
C10        104                           TopLayer    CAPC1005X55N2                 3495.000      3930.000      270      "Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ï¿½ 10%, X7R, 0402 [1005 Metric]"                                                                                                
C9         104                           TopLayer    CAPC1005X55N2                 3675.000      4000.000      270      "Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ï¿½ 10%, X7R, 0402 [1005 Metric]"                                                                                                
