Change Component Description : Designator=J1 Old Description=USB Connector, 16 Contact(s), Male, Right Angle, Surface Mount Terminal, Locking, Receptacle New Description=C42400246
Change component parameters: Designator = "J1" ("J1"); Footprint = "GCT_USB4110GFA"; UniqueID = "\MHTKKKIK" ("\MHTKKKIK")
Change component parameters (AddParameter): Name = "Category"; Value = "USB Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://gct.co/files/drawings/usb4110.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://gct.co/files/drawings/usb4110.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "153,157ConductorMaterial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.46mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "HOAUC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C42400246"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "16NUMBER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "16NUMBER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "5496OrientationType"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.64, 10=1.244, 25=1.1176, 50=1.032, 100=0.9547, 250=0.86368, 500=0.80254 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "30215"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2073-USB4110-GF-A-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "USB Standard"; Value = "6108USBStandard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "20V"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "UFQFPN-32"; UniqueID = "\YNWKXQHF" ("\YNWKXQHF")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "UFQFPN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Microcontrollers"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/2283391.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/2283391.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.st.com/content/ccc/resource/technical/document/datasheet/24/01/9f/59/f0/83/47/fc/DM00257205.pdf/files/DM00257205.pdf/jcr:content/translations/en.DM00257205.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.st.com/content/ccc/resource/technical/document/datasheet/24/01/9f/59/f0/83/47/fc/DM00257205.pdf/files/DM00257205.pdf/jcr:content/translations/en.DM00257205.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "http://www.farnell.com/datasheets/2283391.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.farnell.com/datasheets/2283391.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.octopart.com/STM32L432KBU6-STMicroelectronics-datasheet-62336852.pdf?src-supplier=SHENGYU+ELECTRONICS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.octopart.com/STM32L432KBU6-STMicroelectronics-datasheet-62336852.pdf?src-supplier=SHENGYU+ELECTRONICS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.octopart.com/STM32L432KBU6-STMicroelectronics-datasheet-137130199.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.octopart.com/STM32L432KBU6-STMicroelectronics-datasheet-137130199.pdf?src-supplier=TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Architecture"; Value = "ARM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Interface"; Value = "I2C,SPI,USB,IrDA,UART,USART"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "STM32L432KBU6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°∆C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Memory Size"; Value = "128KB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Memory Type"; Value = "FLASH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°∆C"; VariantName = "[No Variations]"
