Altium Designer Pick and Place Locations
E:\Altium Files\altiumprojects\Oleksii\konceptA\koncept\Project Outputs for koncept\Pick Place for main.txt

========================================================================================================================
File Design Information:

Date:       03/09/25
Time:       21:43
Revision:   8770120a7802294fec98be95005ed7ceb943f05e
Variant:    No variations
Units used: mil

Designator Comment            Layer    Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
J25        61300511121        TopLayer HEADER_M_5               2790.000      2460.000      180      "THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins"                                              
J24        M20-9990246        TopLayer HARWIN_M20-9990246       4320.000      5760.000      90       "2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts"              
R42        PV36W104C01B00     TopLayer POT_PV36W_BRN            4730.000      5960.000      90       "Cermet trimmer potentiometer, 25 turns, 100 k?, 0.5 W, THT, on top, PV36W104C01B00"                             
R41        CRG1206F3K3        TopLayer STA_RMCF1206_STP-L       1190.000      3740.000      270      "Res Thick Film 1206 3.3K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R"                                              
R40        CRG1206F3K3        TopLayer STA_RMCF1206_STP-L       1400.000      3740.000      270      "Res Thick Film 1206 3.3K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R"                                              
R39        CRG1206F3K3        TopLayer STA_RMCF1206_STP-L       1600.000      3740.000      270      "Res Thick Film 1206 3.3K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R"                                              
D5         LED                TopLayer LEDM1608X80              1190.000      3970.000      270      "Single Color LED, Ultra Bright Orange, Water Clear, 1.1mm"                                                      
D4         LED                TopLayer LEDM1608X80              1400.000      3980.000      270      "Single Color LED, Ultra Bright Orange, Water Clear, 1.1mm"                                                      
D3         LED                TopLayer LEDM1608X80              1600.000      3980.000      270      "Single Color LED, Ultra Bright Orange, Water Clear, 1.1mm"                                                      
J23        M20-9990246        TopLayer HARWIN_M20-9990246       5650.000      4240.000      270      "2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts"              
U15        LM358MX/NOPB       TopLayer SOIC127P599X175-8N       4860.000      5540.000      0        "ROHS3Compliant EAR99 LM358 Tape & Reel (TR) op amp amplifier circuit 4.9mm 0.05muA 7mV 1000kHz"                 
R38        RC1206FR-0710KL    TopLayer STA_RMCF1206_STP-L       5170.000      5570.000      90       "250Mw Thick Film Resistors 100Ppm/ 1% 10K 1206 Chip Resistor Surface Mount Rohs"                                
R37        RC1206FR-0710KL    TopLayer STA_RMCF1206_STP-L       5060.000      5570.000      90       "250Mw Thick Film Resistors 100Ppm/ 1% 10K 1206 Chip Resistor Surface Mount Rohs"                                
R36        RC1206FR-0710KL    TopLayer STA_RMCF1206_STP-L       4410.000      5460.000      90       "250Mw Thick Film Resistors 100Ppm/ 1% 10K 1206 Chip Resistor Surface Mount Rohs"                                
R35        RC1206FR-0710KL    TopLayer STA_RMCF1206_STP-L       4550.000      5460.000      90       "250Mw Thick Film Resistors 100Ppm/ 1% 10K 1206 Chip Resistor Surface Mount Rohs"                                
