Removed Pin From Net: NetName=NetJ6_1 Pin=U10-6
Removed Pin From Net: NetName=NetJ6_2 Pin=U10-7
Removed Pin From Net: NetName=+5 Pin=U11-1
Removed Pin From Net: NetName=+3V3 Pin=U11-20
Removed Member From Class: ClassName=main Member=U3
Removed Member From Class: ClassName=main Member=U9
Change Component Footprint: Designator=U2 Old Footprint=CJMCU_GSR New Footprint=OPTOCOUPLER_H11F3SR2M
Change Component Footprint: Designator=U3 Old Footprint=DIL08 New Footprint=OPTOCOUPLER_H11F3SR2M
Change Component Comment : Designator=U2 Old Comment=GSR_CJMCU New Comment=H11F1SM
Change Component Comment : Designator=U3 Old Comment=HCPL-2232 New Comment=H11F1SM
Change component parameters: Designator = "U2" ("U2"); Footprint = "CJMCU_GSR"; UniqueID = "\IXXEVSYD" ("\IXXEVSYD")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Optocouplers"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11772/0900766b80b4f817-11772282.pdf?src-supplier=Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11772/0900766b80b4f817-11772282.pdf?src-supplier=Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-172469-15118870.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-172469-15118870.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "60mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "1.75V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.53mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Type"; Value = "DC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Isolation Voltage"; Value = "5.25kV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Isolation Voltage-Max"; Value = "5.3kV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "8.89mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "H11F1SM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Input Current"; Value = "60mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "100°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Voltage"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Breakdown Voltage"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.49, 50=0.8592, 100=0.7943, 500=0.67846, 1000=0.6406, 2000=0.60852, 5000=0.57351, 10000=0.55172 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Breakdown Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage (DC)"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "1561"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "H11F1SM-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-Off Delay Time"; Value = "45us"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-On Delay Time"; Value = "45us"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.81g"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "6.6mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3" ("U3"); Footprint = "DIL08"; UniqueID = "\NWAZRTNS" ("\NWAZRTNS")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Optocouplers"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11772/0900766b80b4f817-11772282.pdf?src-supplier=Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11772/0900766b80b4f817-11772282.pdf?src-supplier=Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-172469-15118870.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-172469-15118870.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "60mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "1.75V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.53mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Type"; Value = "DC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Isolation Voltage"; Value = "5.25kV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Isolation Voltage-Max"; Value = "5.3kV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "8.89mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "H11F1SM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Input Current"; Value = "60mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "100°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Voltage"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Breakdown Voltage"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "300mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.49, 50=0.8592, 100=0.7943, 500=0.67846, 1000=0.6406, 2000=0.60852, 5000=0.57351, 10000=0.55172 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Breakdown Voltage"; Value = "5V"; VariantName = "[No Variations]"
