Removed Member From Class: ClassName=Designator Member=R6
Removed Member From Class: ClassName=Designator Member=R7
Removed Member From Class: ClassName=Designator Member=R8
Add Class: Class already exists: Designator
Added Member To Class: ClassName=U_Connectors Member=Component J1 B6B-XH-A
Added Member To Class: ClassName=U_MCU Member=Component R1 4.7K
Added Member To Class: ClassName=U_MCU Member=Component R2 NC
Added Member To Class: ClassName=U_MCU Member=Component R3 4.7K
Added Member To Class: ClassName=U_MCU Member=Component R4 4.7K
Added Member To Class: ClassName=U_MCU Member=Component R5 4.7K
Added Member To Class: ClassName=U_MCU Member=Component R6 12k
Added Member To Class: ClassName=U_MCU Member=Component R7 12k
Added Member To Class: ClassName=U_RTC Member=Component R8 NC
Added Member To Class: ClassName=U_RTC Member=Component R9 0R
Added Member To Class: ClassName=Designator Member=Component R10 6.2K
Added Member To Class: ClassName=Designator Member=Component R11 6.2K
Added Member To Class: ClassName=Designator Member=Component R12 2.4K
Added Member To Class: ClassName=Designator Member=Component R13 2.4K
Added Member To Class: ClassName=Designator Member=Component R14 6.2K
Added Member To Class: ClassName=Designator Member=Component R15 6.2K
Added Member To Class: ClassName=Designator Member=Component R16 2.4K
Added Member To Class: ClassName=Designator Member=Component R17 2.4K
Added Member To Class: ClassName=Designator Member=Component R19 6.2K
Added Member To Class: ClassName=Designator Member=Component R20 2.4K
Added Member To Class: ClassName=Designator Member=Component R21 2.4K
Added Member To Class: ClassName=Designator Member=Component R22 6.2K
Added Member To Class: ClassName=Designator Member=Component R23 6.2K
Added Member To Class: ClassName=Designator Member=Component R24 2.4K
Added Member To Class: ClassName=Designator Member=Component R25 2.4K
