Change Physical Footprint: Designator=BT1 Old Footprint=BAT_BH32T-C-HITE New Footprint=BAT_BH32T-C-HITE
Change Physical Footprint: Designator=C1 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C2 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C3 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C4 Old Footprint=CAPPM7343X430N New Footprint=CAPPM7343X430N
Change Physical Footprint: Designator=C5 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C6 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C7 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C8 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C9 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C10 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C11 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C12 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C13 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C14 Old Footprint=0603-C New Footprint=0603-C
Change Physical Footprint: Designator=C15 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=C16 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=C17 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=C18 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=C19 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=C20 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=C21 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=C22 Old Footprint=C1210 New Footprint=C1210
Change Physical Footprint: Designator=D1 Old Footprint=DIONM5126X250N New Footprint=DIONM5126X250N
Change Physical Footprint: Designator=D2 Old Footprint=DIONM5126X250N New Footprint=DIONM5126X250N
Change Physical Footprint: Designator=D3 Old Footprint=DIONM5126X250N New Footprint=DIONM5126X250N
Change Physical Footprint: Designator=D4 Old Footprint=DIONM5126X250N New Footprint=DIONM5126X250N
Change Physical Footprint: Designator=D5 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=D6 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=D7 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=D8 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=D9 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=D10 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=D11 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=D12 Old Footprint=DIONM8059X265N New Footprint=DIONM8059X265N
Change Physical Footprint: Designator=FID1 Old Footprint=Fiducial New Footprint=Fiducial
Change Physical Footprint: Designator=FID2 Old Footprint=Fiducial New Footprint=Fiducial
Change Physical Footprint: Designator=IC1 Old Footprint=SON95P300X300X80-7N New Footprint=SON95P300X300X80-7N
Change Physical Footprint: Designator=IC2 Old Footprint=SON95P300X300X80-7N New Footprint=SON95P300X300X80-7N
Change Physical Footprint: Designator=IC3 Old Footprint=SON95P300X300X80-7N New Footprint=SON95P300X300X80-7N
Change Physical Footprint: Designator=IC4 Old Footprint=SON95P300X300X80-7N New Footprint=SON95P300X300X80-7N
Change Physical Footprint: Designator=IC5 Old Footprint=SOP64P600X175-20N New Footprint=SOP64P600X175-20N
Change Physical Footprint: Designator=Q1 Old Footprint=SOT95P240X115-3N New Footprint=SOT95P240X115-3N
Change Physical Footprint: Designator=Q2 Old Footprint=SOT95P240X115-3N New Footprint=SOT95P240X115-3N
Change Physical Footprint: Designator=R1 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R2 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R3 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R4 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R7 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R8 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R9 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R12 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R14 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R15 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R16 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R17 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R18 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R19 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R20 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R21 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R22 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R23 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R24 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R25 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R26 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R27 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R28 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R29 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R30 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R31 Old Footprint=0603-R New Footprint=0603-R
Change Physical Footprint: Designator=R32 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R33 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R34 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R35 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R36 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R37 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R38 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R39 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R40 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R41 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R42 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R43 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=R44 Old Footprint=12Z-2010 New Footprint=12Z-2010
Change Physical Footprint: Designator=SW1 Old Footprint=TL3342F160QG New Footprint=TL3342F160QG
Change Physical Footprint: Designator=SW2 Old Footprint=TL3342F160QG New Footprint=TL3342F160QG
Change Physical Footprint: Designator=U1 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U2 Old Footprint=*SOIC127P600X175-8N New Footprint=*SOIC127P600X175-8N
Change Physical Footprint: Designator=U3 Old Footprint=SOP254P940X265-8N New Footprint=SOP254P940X265-8N
Change Physical Footprint: Designator=U4 Old Footprint=*SOIC127P600X175-8N New Footprint=*SOIC127P600X175-8N
Change Physical Footprint: Designator=U5 Old Footprint=SOP254P940X265-8N New Footprint=SOP254P940X265-8N
Change Physical Footprint: Designator=U6 Old Footprint=*SOIC127P600X175-8N New Footprint=*SOIC127P600X175-8N
Change Physical Footprint: Designator=U7 Old Footprint=SOP254P940X265-8N New Footprint=SOP254P940X265-8N
Change Physical Footprint: Designator=U8 Old Footprint=*SOIC127P600X175-8N New Footprint=*SOIC127P600X175-8N
Change Physical Footprint: Designator=U9 Old Footprint=SOP254P940X265-8N New Footprint=SOP254P940X265-8N
Change Physical Footprint: Designator=U10 Old Footprint=MODULE_ESP32-WROOM-32 New Footprint=MODULE_ESP32-WROOM-32
Change Physical Footprint: Designator=U11 Old Footprint=SOIC127P1032X265-16N New Footprint=SOIC127P1032X265-16N
